路段编号,起点,终点,长度(km),初始积水深度(cm),通行状态
1,1,2,1.3,15,可通行
2,1,21,1.1,8,可通行
3,1,8,1.8,22,可通行
4,2,3,1.2,28,可通行
5,2,25,0.9,18,可通行
6,3,23,1.4,35,可通行
7,3,6,2.0,42,封闭
8,4,5,1.1,25,可通行
9,4,9,1.3,32,可通行
10,4,10,1.5,38,可通行
11,5,6,1.2,28,可通行
12,5,11,1.7,15,可通行
13,6,7,1.3,45,封闭
14,6,12,1.9,24,可通行
15,7,14,1.6,31,可通行
16,7,22,1.4,38,可通行
17,7,24,1.1,20,可通行
18,8,9,1.2,12,可通行
19,8,15,2.1,25,可通行
20,8,21,1.5,18,可通行
21,9,10,1.0,28,可通行
22,9,16,1.8,35,可通行
23,10,11,1.2,41,封闭
24,10,16,1.4,38,可通行
25,11,12,1.1,26,可通行
26,11,17,1.6,19,可通行
27,12,13,1.3,33,可通行
28,12,18,1.7,40,临界
29,13,14,1.2,28,可通行
30,13,19,1.5,21,可通行
31,14,20,1.4,36,可通行
32,14,22,1.3,29,可通行
33,15,16,1.2,14,可通行
34,15,21,1.9,18,可通行
35,16,17,1.1,23,可通行
36,17,18,1.3,27,可通行
37,18,19,1.2,31,可通行
38,19,20,1.6,34,可通行
