起点,终点,length,h,v,time
1,2,1.3,15,40,0.0325
1,21,1.1,8,40,0.027500000000000004
1,8,1.8,22,20,0.09
2,3,1.2,28,20,0.06
2,25,0.9,18,40,0.0225
3,23,1.4,35,20,0.06999999999999999
4,5,1.1,25,20,0.05500000000000001
4,9,1.3,32,20,0.065
4,10,1.5,38,20,0.075
5,6,1.2,28,20,0.06
5,11,1.7,15,40,0.042499999999999996
6,12,1.9,24,20,0.095
7,14,1.6,31,20,0.08
7,22,1.4,38,20,0.06999999999999999
7,24,1.1,20,20,0.05500000000000001
8,9,1.2,12,40,0.03
8,15,2.1,25,20,0.10500000000000001
8,21,1.5,18,40,0.0375
9,10,1.0,28,20,0.05
9,16,1.8,35,20,0.09
10,16,1.4,38,20,0.06999999999999999
11,12,1.1,26,20,0.05500000000000001
11,17,1.6,19,40,0.04
12,13,1.3,33,20,0.065
13,14,1.2,28,20,0.06
13,19,1.5,21,20,0.075
14,20,1.4,36,20,0.06999999999999999
14,22,1.3,29,20,0.065
15,16,1.2,14,40,0.03
15,21,1.9,18,40,0.0475
16,17,1.1,23,20,0.05500000000000001
17,18,1.3,27,20,0.065
18,19,1.2,31,20,0.06
19,20,1.6,34,20,0.08
