OrderNo,GroupNo
D0145,1
D0352,1
D0630,1
D0294,1
D0246,1
D0912,1
D0423,1
D0591,1
D0540,1
D0572,1
D0771,1
D0401,1
D0306,2
D0116,2
D0882,2
D0468,2
D0505,2
D0498,2
D0474,2
D0800,2
D0320,2
D0670,2
D0413,2
D0486,2
D0433,2
D0612,2
D0825,2
D0190,2
D0384,2
D0409,2
D0496,2
D0776,2
D0747,2
D0581,2
D0031,3
D0175,3
D0541,3
D0880,3
D0680,3
D0482,3
D0459,3
D0565,3
D0432,3
D0690,3
D0562,3
D0728,3
D0841,3
D0480,3
D0551,3
D0679,3
D0893,3
D0900,3
D0022,3
D0477,3
D0846,3
D0470,3
D0435,3
D0002,3
D0003,3
D0188,3
D0026,3
D0126,3
D0162,3
D0169,3
D0245,3
D0204,4
D0029,4
D0085,4
D0406,4
D0464,4
D0508,4
D0525,4
D0323,4
D0461,4
D0781,4
D0430,4
D0315,4
D0620,4
D0622,4
D0326,4
D0307,4
D0810,4
D0852,4
D0365,4
D0329,4
D0494,4
D0897,4
D0865,4
D0119,4
D0205,4
D0091,4
D0092,4
D0110,4
D0212,4
D0283,5
D0006,5
D0063,5
D0458,5
D0621,5
D0744,5
D0553,5
D0623,5
D0504,5
D0625,5
D0719,5
D0416,5
D0731,5
D0737,5
D0755,5
D0618,5
D0896,5
D0599,5
D0801,5
D0349,5
D0479,5
D0845,5
D0561,5
D0260,5
D0133,6
D0194,6
D0060,6
D0741,6
D0767,6
D0481,6
D0678,6
D0142,6
D0147,6
D0340,6
D0397,6
D0792,6
D0891,6
D0894,6
D0475,6
D0899,6
D0386,6
D0851,6
D0830,6
D0399,6
D0878,6
D0166,6
D0460,6
D0544,6
D0042,6
D0019,6
D0043,6
D0215,6
D0550,6
D0131,7
D0189,7
D0225,7
D0909,7
D0718,7
D0339,7
D0417,7
D0518,7
D0754,7
D0325,7
D0167,7
D0517,7
D0363,7
D0512,7
D0919,7
D0660,7
D0407,7
D0400,7
D0528,7
D0632,7
D0759,7
D0804,7
D0821,7
D0446,7
D0280,8
D0262,8
D0177,8
D0153,8
D0824,8
D0913,8
D0299,8
D0376,8
D0542,8
D0434,8
D0566,8
D0454,8
D0653,8
D0555,8
D0633,8
D0706,8
D0370,8
D0838,8
D0529,8
D0332,8
D0420,8
D0345,8
D0392,8
D0514,8
D0595,8
D0146,8
D0101,8
D0243,8
D0269,9
D0149,9
D0224,9
D0211,9
D0761,9
D0462,9
D0577,9
D0785,9
D0472,9
D0691,9
D0436,9
D0901,9
D0319,9
D0849,9
D0453,9
D0476,9
D0774,9
D0837,9
D0357,9
D0545,9
D0456,9
D0753,9
D0639,9
D0727,9
D0158,9
D0171,10
D0183,10
D0039,10
D0244,10
D0696,10
D0657,10
D0860,10
D0642,10
D0818,10
D0598,10
D0643,10
D0743,10
D0697,10
D0523,10
D0760,10
D0602,10
D0654,10
D0418,10
D0742,10
D0702,10
D0797,10
D0570,10
D0828,10
D0208,11
D0218,11
D0089,11
D0117,11
D0580,11
D0616,11
D0221,11
D0096,11
D0106,11
D0187,12
D0281,12
D0011,12
D0023,12
D0640,12
D0203,13
D0232,13
D0282,13
D0179,13
D0823,13
D0118,13
D0261,14
D0066,14
D0075,14
D0160,14
D0803,14
D0448,14
D0658,14
D0414,14
D0600,14
D0095,15
D0157,15
D0239,15
D0241,15
D0113,15
D0373,15
D0487,15
D0374,15
D0491,15
D0291,15
D0756,15
D0223,15
D0344,15
D0359,15
D0298,15
D0732,15
D0634,15
D0723,15
D0367,15
D0501,15
D0305,15
D0692,15
D0819,15
D0884,15
D0877,15
D0327,15
D0227,15
D0084,16
D0124,16
D0128,16
D0025,16
D0049,16
D0856,16
D0324,16
D0834,16
D0178,17
D0257,17
D0053,17
D0093,17
D0184,17
D0295,17
D0140,17
D0078,17
D0228,18
D0233,18
D0258,18
D0035,18
D0056,18
D0076,18
D0516,18
D0530,18
D0226,19
D0270,19
D0123,19
D0099,19
D0164,19
D0627,19
D0920,20
D0027,20
D0173,20
D0259,20
D0014,20
D0870,20
D0249,20
D0619,20
D0047,21
D0083,21
D0219,21
D0704,21
D0057,21
D0887,21
D0875,21
D0070,21
D0442,21
D0163,22
D0213,22
D0546,22
D0071,22
D0192,22
D0154,22
D0152,22
D0231,23
D0444,23
D0729,23
D0030,23
D0685,23
D0489,23
D0130,23
D0122,23
D0515,24
D0557,24
D0673,24
D0676,24
D0115,24
D0608,24
D0806,24
D0009,24
D0859,25
D0082,25
D0102,25
D0103,25
D0304,25
D0412,25
D0441,25
D0220,25
D0044,25
D0045,25
D0105,25
D0112,25
D0210,25
D0575,26
D0010,26
D0174,26
D0256,26
D0688,26
D0843,26
D0046,26
D0369,26
D0072,27
D0081,27
D0176,27
D0302,27
D0457,27
D0708,27
D0780,27
D0209,27
D0628,27
D0782,28
D0892,28
D0916,28
D0040,28
D0080,28
D0087,28
D0111,28
D0588,28
D0120,29
D0155,29
D0272,29
D0277,29
D0288,29
D0310,29
D0322,29
D0701,29
D0393,29
D0647,29
D0312,29
D0372,30
D0437,30
D0443,30
D0531,30
D0667,30
D0715,30
D0717,30
D0159,30
D0770,31
D0807,31
D0857,31
D0917,31
D0013,31
D0048,31
D0141,31
D0165,31
D0104,31
D0252,32
D0333,32
D0351,32
D0563,32
D0766,32
D0855,32
D0886,32
D0016,32
D0902,33
D0108,33
D0129,33
D0222,33
D0335,33
D0385,33
D0484,33
D0714,33
D0768,33
D0547,33
D0733,34
D0835,34
D0864,34
D0058,34
D0151,34
D0196,34
D0358,34
D0382,34
D0500,34
D0427,35
D0438,35
D0478,35
D0526,35
D0569,35
D0571,35
D0662,35
D0663,35
D0236,35
D0700,36
D0711,36
D0739,36
D0750,36
D0051,36
D0098,36
D0286,36
D0303,36
D0330,36
D0237,36
D0377,37
D0495,37
D0510,37
D0534,37
D0576,37
D0579,37
D0593,37
D0604,37
D0090,37
D0666,38
D0720,38
D0730,38
D0765,38
D0769,38
D0789,38
D0794,38
D0888,38
D0068,38
D0134,39
D0308,39
D0354,39
D0378,39
D0381,39
D0390,39
D0449,39
D0463,39
D0466,39
D0574,39
D0840,39
D0645,40
D0675,40
D0681,40
D0687,40
D0705,40
D0736,40
D0758,40
D0812,40
D0156,40
D0833,41
D0858,41
D0869,41
D0881,41
D0883,41
D0885,41
D0889,41
D0050,41
D0144,41
D0266,41
D0052,42
D0182,42
D0202,42
D0341,42
D0346,42
D0350,42
D0395,42
D0471,42
D0635,42
D0197,42
D0138,42
D0005,42
D0656,43
D0659,43
D0671,43
D0707,43
D0763,43
D0790,43
D0799,43
D0813,43
D0815,43
D0898,43
D0862,44
D0088,44
D0247,44
D0297,44
D0331,44
D0403,44
D0404,44
D0411,44
D0424,44
D0394,44
D0426,45
D0431,45
D0522,45
D0537,45
D0585,45
D0661,45
D0677,45
D0686,45
D0713,45
D0366,45
D0121,45
D0787,46
D0829,46
D0848,46
D0850,46
D0921,46
D0073,46
D0097,46
D0191,46
D0268,46
D0343,46
D0854,46
D0292,47
D0309,47
D0371,47
D0398,47
D0452,47
D0535,47
D0584,47
D0603,47
D0610,47
D0617,47
D0181,47
D0254,47
D0637,48
D0665,48
D0788,48
D0791,48
D0827,48
D0879,48
D0911,48
D0024,48
D0064,48
D0069,48
D0265,48
D0230,49
D0300,49
D0313,49
D0380,49
D0451,49
D0485,49
D0493,49
D0502,49
D0513,49
D0519,49
D0186,49
D0527,50
D0533,50
D0573,50
D0590,50
D0596,50
D0652,50
D0669,50
D0699,50
D0716,50
D0734,50
D0752,50
D0273,50
D0199,50
D0198,50
D0746,51
D0762,51
D0847,51
D0132,51
D0143,51
D0242,51
D0314,51
D0321,51
D0383,51
D0440,51
D0488,51
D0170,51
D0455,52
D0520,52
D0559,52
D0589,52
D0606,52
D0629,52
D0682,52
D0683,52
D0684,52
D0689,52
D0698,52
D0036,52
D0168,52
D0703,53
D0740,53
D0775,53
D0798,53
D0808,53
D0811,53
D0832,53
D0863,53
D0866,53
D0923,53
D0001,53
D0038,53
D0008,54
D0107,54
D0109,54
D0139,54
D0150,54
D0180,54
D0214,54
D0238,54
D0276,54
D0285,54
D0290,54
D0338,54
D0311,54
D0389,55
D0408,55
D0410,55
D0447,55
D0467,55
D0506,55
D0549,55
D0586,55
D0592,55
D0594,55
D0655,55
D0710,55
D0709,56
D0793,56
D0816,56
D0868,56
D0895,56
D0910,56
D0015,56
D0079,56
D0135,56
D0200,56
D0207,56
D0255,56
D0017,56
D0271,57
D0356,57
D0360,57
D0387,57
D0415,57
D0419,57
D0503,57
D0507,57
D0532,57
D0558,57
D0607,57
D0611,57
D0355,57
D0267,57
D0695,58
D0725,58
D0735,58
D0772,58
D0784,58
D0802,58
D0907,58
D0922,58
D0012,58
D0193,58
D0240,58
D0296,58
D0342,58
D0287,58
D0195,58
D0316,59
D0375,59
D0388,59
D0509,59
D0538,59
D0548,59
D0556,59
D0564,59
D0721,59
D0738,59
D0748,59
D0764,59
D0805,59
D0318,59
D0817,60
D0822,60
D0842,60
D0906,60
D0055,60
D0086,60
D0161,60
D0248,60
D0289,60
D0317,60
D0334,60
D0483,60
D0567,60
D0605,60
D0263,60
D0649,61
D0668,61
D0693,61
D0694,61
D0712,61
D0778,61
D0796,61
D0820,61
D0836,61
D0872,61
D0007,61
D0062,61
D0217,61
D0229,61
D0234,61
D0264,61
D0274,62
D0284,62
D0301,62
D0336,62
D0361,62
D0421,62
D0422,62
D0511,62
D0521,62
D0543,62
D0578,62
D0648,62
D0672,62
D0861,62
D0021,62
D0094,62
D0033,63
D0037,63
D0275,63
D0348,63
D0362,63
D0445,63
D0450,63
D0469,63
D0490,63
D0524,63
D0552,63
D0597,63
D0638,63
D0646,63
D0724,63
D0908,63
D0779,64
D0795,64
D0018,64
D0028,64
D0251,64
D0396,64
D0582,64
D0587,64
D0609,64
D0624,64
D0636,64
D0644,64
D0722,64
D0745,64
D0783,64
D0853,64
D0867,64
D0067,64
D0751,64
D0873,65
D0874,65
D0890,65
D0904,65
D0914,65
D0137,65
D0278,65
D0402,65
D0405,65
D0428,65
D0499,65
D0615,65
D0626,65
D0814,65
D0831,65
D0876,65
D0905,65
D0065,65
D0004,66
D0054,66
D0074,66
D0185,66
D0368,66
D0425,66
D0465,66
D0492,66
D0568,66
D0641,66
D0871,66
D0034,66
D0077,66
D0136,66
D0347,66
D0353,66
D0379,66
D0439,66
D0536,66
D0554,66
D0664,66
D0032,66
D0809,67
D0918,67
D0041,67
D0059,67
D0125,67
D0293,67
D0786,67
D0020,67
D0328,67
D0364,67
D0473,67
D0560,67
D0583,67
D0777,67
D0826,67
D0100,67
D0127,67
D0253,67
D0650,67
D0749,67
D0757,67
D0773,67
D0839,67
D0844,67
D0216,67
D0631,67
D0651,67
D0061,67
D0172,67
D0206,67
D0235,67
D0429,67
D0250,68
D0114,68
D0201,68
D0279,68
D0915,68
D0148,68
D0674,68
D0726,68
D0613,68
D0337,68
D0497,68
D0601,68
D0391,68
D0539,68
D0903,68
D0614,68
