OrderNo,GroupNo,WorkerNo,TaskNo
D0145,1,1,1
D0572,1,1,2
D0352,1,2,1
D0423,1,2,2
D0630,1,3,1
D0540,1,3,2
D0771,1,3,3
D0294,1,4,1
D0912,1,4,2
D0246,1,5,1
D0591,1,5,2
D0401,1,5,3
D0306,2,1,1
D0800,2,1,2
D0413,2,1,3
D0190,2,1,4
D0116,2,2,1
D0474,2,2,2
D0825,2,2,3
D0882,2,3,1
D0498,2,3,2
D0612,2,3,3
D0409,2,3,4
D0468,2,4,1
D0320,2,4,2
D0433,2,4,3
D0747,2,4,4
D0505,2,5,1
D0670,2,5,2
D0486,2,5,3
D0384,2,5,4
D0496,2,5,5
D0776,2,5,6
D0581,2,5,7
D0031,3,1,1
D0482,3,1,2
D0562,3,1,3
D0679,3,1,4
D0435,3,1,5
D0175,3,2,1
D0565,3,2,2
D0728,3,2,3
D0893,3,2,4
D0470,3,2,5
D0126,3,2,6
D0162,3,2,7
D0169,3,2,8
D0245,3,2,9
D0541,3,3,1
D0432,3,3,2
D0551,3,3,3
D0846,3,3,4
D0880,3,4,1
D0459,3,4,2
D0480,3,4,3
D0022,3,4,4
D0477,3,4,5
D0002,3,4,6
D0003,3,4,7
D0026,3,4,8
D0680,3,5,1
D0690,3,5,2
D0841,3,5,3
D0900,3,5,4
D0188,3,5,5
D0204,4,1,1
D0781,4,1,2
D0326,4,1,3
D0329,4,1,4
D0212,4,1,5
D0029,4,2,1
D0525,4,2,2
D0622,4,2,3
D0365,4,2,4
D0119,4,2,5
D0205,4,2,6
D0091,4,2,7
D0092,4,2,8
D0110,4,2,9
D0085,4,3,1
D0508,4,3,2
D0430,4,3,3
D0307,4,3,4
D0494,4,3,5
D0406,4,4,1
D0323,4,4,2
D0620,4,4,3
D0852,4,4,4
D0865,4,4,5
D0464,4,5,1
D0461,4,5,2
D0315,4,5,3
D0810,4,5,4
D0897,4,5,5
D0283,5,1,1
D0553,5,1,2
D0731,5,1,3
D0599,5,1,4
D0260,5,1,5
D0006,5,2,1
D0744,5,2,2
D0719,5,2,3
D0618,5,2,4
D0479,5,2,5
D0063,5,3,1
D0625,5,3,2
D0755,5,3,3
D0349,5,3,4
D0458,5,4,1
D0623,5,4,2
D0737,5,4,3
D0801,5,4,4
D0561,5,4,5
D0621,5,5,1
D0504,5,5,2
D0416,5,5,3
D0896,5,5,4
D0845,5,5,5
D0133,6,1,1
D0481,6,1,2
D0792,6,1,3
D0386,6,1,4
D0166,6,1,5
D0215,6,1,6
D0550,6,1,7
D0194,6,2,1
D0340,6,2,2
D0894,6,2,3
D0399,6,2,4
D0042,6,2,5
D0060,6,3,1
D0397,6,3,2
D0899,6,3,3
D0878,6,3,4
D0019,6,3,5
D0741,6,4,1
D0678,6,4,2
D0891,6,4,3
D0851,6,4,4
D0544,6,4,5
D0043,6,4,6
D0767,6,5,1
D0142,6,5,2
D0147,6,5,3
D0475,6,5,4
D0830,6,5,5
D0460,6,5,6
D0131,7,1,1
D0325,7,1,2
D0660,7,1,3
D0759,7,1,4
D0189,7,2,1
D0339,7,2,2
D0517,7,2,3
D0407,7,2,4
D0804,7,2,5
D0225,7,3,1
D0754,7,3,2
D0919,7,3,3
D0528,7,3,4
D0909,7,4,1
D0417,7,4,2
D0363,7,4,3
D0400,7,4,4
D0821,7,4,5
D0446,7,4,6
D0718,7,5,1
D0518,7,5,2
D0167,7,5,3
D0512,7,5,4
D0632,7,5,5
D0280,8,1,1
D0299,8,1,2
D0653,8,1,3
D0838,8,1,4
D0392,8,1,5
D0262,8,2,1
D0434,8,2,2
D0706,8,2,3
D0420,8,2,4
D0101,8,2,5
D0177,8,3,1
D0376,8,3,2
D0454,8,3,3
D0370,8,3,4
D0345,8,3,5
D0153,8,4,1
D0913,8,4,2
D0566,8,4,3
D0633,8,4,4
D0332,8,4,5
D0146,8,4,6
D0243,8,4,7
D0824,8,5,1
D0542,8,5,2
D0555,8,5,3
D0529,8,5,4
D0514,8,5,5
D0595,8,5,6
D0269,9,1,1
D0224,9,1,2
D0436,9,1,3
D0849,9,1,4
D0774,9,1,5
D0753,9,1,6
D0149,9,2,1
D0577,9,2,2
D0319,9,2,3
D0837,9,2,4
D0639,9,2,5
D0211,9,3,1
D0785,9,3,2
D0476,9,3,3
D0357,9,3,4
D0727,9,3,5
D0158,9,3,6
D0761,9,4,1
D0472,9,4,2
D0901,9,4,3
D0545,9,4,4
D0462,9,5,1
D0691,9,5,2
D0453,9,5,3
D0456,9,5,4
D0171,10,1,1
D0657,10,1,2
D0743,10,1,3
D0418,10,1,4
D0828,10,1,5
D0183,10,2,1
D0860,10,2,2
D0643,10,2,3
D0602,10,2,4
D0797,10,2,5
D0039,10,3,1
D0598,10,3,2
D0760,10,3,3
D0702,10,3,4
D0244,10,4,1
D0818,10,4,2
D0523,10,4,3
D0742,10,4,4
D0696,10,5,1
D0642,10,5,2
D0697,10,5,3
D0654,10,5,4
D0570,10,5,5
D0208,11,1,1
D0218,11,2,1
D0616,11,2,2
D0089,11,3,1
D0221,11,3,2
D0096,11,3,3
D0117,11,4,1
D0106,11,4,2
D0580,11,5,1
D0187,12,1,1
D0281,12,1,2
D0011,12,2,1
D0023,12,3,1
D0640,12,4,1
D0203,13,1,1
D0232,13,2,1
D0282,13,3,1
D0179,13,3,2
D0823,13,4,1
D0118,13,5,1
D0261,14,1,1
D0066,14,2,1
D0414,14,2,2
D0075,14,3,1
D0160,14,3,2
D0803,14,4,1
D0658,14,4,2
D0448,14,5,1
D0600,14,5,2
D0095,15,1,1
D0113,15,1,2
D0374,15,1,3
D0344,15,1,4
D0501,15,1,5
D0877,15,1,6
D0157,15,2,1
D0291,15,2,2
D0298,15,2,3
D0367,15,2,4
D0884,15,2,5
D0227,15,2,6
D0239,15,3,1
D0491,15,3,2
D0359,15,3,3
D0305,15,3,4
D0327,15,3,5
D0241,15,4,1
D0487,15,4,2
D0223,15,4,3
D0634,15,4,4
D0692,15,4,5
D0373,15,5,1
D0756,15,5,2
D0732,15,5,3
D0723,15,5,4
D0819,15,5,5
D0084,16,1,1
D0324,16,1,2
D0124,16,2,1
D0834,16,2,2
D0128,16,3,1
D0025,16,4,1
D0856,16,4,2
D0049,16,5,1
D0178,17,1,1
D0078,17,1,2
D0257,17,2,1
D0053,17,3,1
D0140,17,3,2
D0093,17,4,1
D0184,17,4,2
D0295,17,5,1
D0228,18,1,1
D0516,18,1,2
D0233,18,2,1
D0258,18,3,1
D0035,18,4,1
D0056,18,5,1
D0076,18,5,2
D0530,18,5,3
D0226,19,1,1
D0123,19,1,2
D0270,19,2,1
D0099,19,3,1
D0164,19,4,1
D0627,19,5,1
D0920,20,1,1
D0027,20,2,1
D0870,20,2,2
D0249,20,2,3
D0173,20,3,1
D0259,20,4,1
D0619,20,4,2
D0014,20,5,1
D0047,21,1,1
D0057,21,1,2
D0070,21,1,3
D0083,21,2,1
D0875,21,2,2
D0219,21,3,1
D0704,21,4,1
D0442,21,4,2
D0887,21,5,1
D0163,22,1,1
D0152,22,1,2
D0213,22,2,1
D0546,22,2,2
D0071,22,3,1
D0192,22,4,1
D0154,22,5,1
D0231,23,1,1
D0122,23,1,2
D0444,23,2,1
D0130,23,2,2
D0729,23,3,1
D0489,23,3,2
D0030,23,4,1
D0685,23,5,1
D0515,24,1,1
D0557,24,1,2
D0673,24,2,1
D0676,24,3,1
D0009,24,3,2
D0115,24,4,1
D0608,24,4,2
D0806,24,5,1
D0859,25,1,1
D0412,25,1,2
D0082,25,2,1
D0044,25,2,2
D0045,25,2,3
D0105,25,2,4
D0112,25,2,5
D0102,25,3,1
D0210,25,3,2
D0103,25,4,1
D0441,25,4,2
D0304,25,5,1
D0220,25,5,2
D0575,26,1,1
D0843,26,1,2
D0010,26,2,1
D0174,26,3,1
D0369,26,3,2
D0256,26,4,1
D0688,26,5,1
D0046,26,5,2
D0072,27,1,1
D0780,27,1,2
D0081,27,2,1
D0628,27,2,2
D0176,27,3,1
D0209,27,3,2
D0302,27,4,1
D0457,27,4,2
D0708,27,5,1
D0782,28,1,1
D0892,28,2,1
D0916,28,3,1
D0087,28,3,2
D0588,28,3,3
D0040,28,4,1
D0111,28,4,2
D0080,28,5,1
D0120,29,1,1
D0701,29,1,2
D0155,29,2,1
D0272,29,3,1
D0322,29,3,2
D0312,29,3,3
D0277,29,4,1
D0288,29,4,2
D0393,29,4,3
D0310,29,5,1
D0647,29,5,2
D0372,30,1,1
D0437,30,2,1
D0159,30,2,2
D0443,30,3,1
D0531,30,4,1
D0667,30,4,2
D0715,30,5,1
D0717,30,5,2
D0770,31,1,1
D0165,31,1,2
D0807,31,2,1
D0048,31,2,2
D0857,31,3,1
D0917,31,4,1
D0141,31,4,2
D0013,31,5,1
D0104,31,5,2
D0252,32,1,1
D0333,32,2,1
D0886,32,2,2
D0351,32,3,1
D0563,32,4,1
D0016,32,4,2
D0766,32,5,1
D0855,32,5,2
D0902,33,1,1
D0108,33,2,1
D0385,33,2,2
D0547,33,2,3
D0129,33,3,1
D0768,33,3,2
D0222,33,4,1
D0335,33,5,1
D0484,33,5,2
D0714,33,5,3
D0733,34,1,1
D0151,34,1,2
D0835,34,2,1
D0058,34,2,2
D0864,34,3,1
D0382,34,3,2
D0196,34,4,1
D0500,34,4,2
D0358,34,5,1
D0427,35,1,1
D0438,35,2,1
D0662,35,2,2
D0478,35,3,1
D0569,35,3,2
D0526,35,4,1
D0236,35,4,2
D0571,35,5,1
D0663,35,5,2
D0700,36,1,1
D0750,36,1,2
D0711,36,2,1
D0739,36,3,1
D0286,36,3,2
D0237,36,3,3
D0051,36,4,1
D0303,36,4,2
D0098,36,5,1
D0330,36,5,2
D0377,37,1,1
D0579,37,1,2
D0495,37,2,1
D0510,37,3,1
D0534,37,4,1
D0593,37,4,2
D0604,37,4,3
D0576,37,5,1
D0090,37,5,2
D0666,38,1,1
D0068,38,1,2
D0720,38,2,1
D0730,38,3,1
D0765,38,3,2
D0769,38,4,1
D0789,38,5,1
D0794,38,5,2
D0888,38,5,3
D0134,39,1,1
D0840,39,1,2
D0308,39,2,1
D0378,39,2,2
D0466,39,2,3
D0354,39,3,1
D0463,39,3,2
D0381,39,4,1
D0449,39,4,2
D0574,39,4,3
D0390,39,5,1
D0645,40,1,1
D0705,40,1,2
D0675,40,2,1
D0736,40,2,2
D0812,40,2,3
D0681,40,3,1
D0156,40,3,2
D0687,40,4,1
D0758,40,5,1
D0833,41,1,1
D0858,41,1,2
D0869,41,2,1
D0883,41,2,2
D0266,41,2,3
D0881,41,3,1
D0050,41,3,2
D0885,41,4,1
D0889,41,4,2
D0144,41,5,1
D0052,42,1,1
D0350,42,1,2
D0005,42,1,3
D0182,42,2,1
D0635,42,2,2
D0202,42,3,1
D0138,42,3,2
D0341,42,4,1
D0346,42,4,2
D0197,42,4,3
D0395,42,5,1
D0471,42,5,2
D0656,43,1,1
D0659,43,2,1
D0671,43,2,2
D0813,43,2,3
D0707,43,3,1
D0898,43,3,2
D0763,43,4,1
D0815,43,4,2
D0790,43,5,1
D0799,43,5,2
D0862,44,1,1
D0404,44,1,2
D0088,44,2,1
D0247,44,2,2
D0411,44,2,3
D0297,44,3,1
D0331,44,4,1
D0403,44,5,1
D0424,44,5,2
D0394,44,5,3
D0426,45,1,1
D0431,45,1,2
D0522,45,2,1
D0661,45,2,2
D0366,45,2,3
D0537,45,3,1
D0686,45,3,2
D0585,45,4,1
D0121,45,4,2
D0677,45,5,1
D0713,45,5,2
D0787,46,1,1
D0850,46,1,2
D0829,46,2,1
D0848,46,2,2
D0343,46,2,3
D0921,46,3,1
D0073,46,3,2
D0097,46,4,1
D0191,46,5,1
D0268,46,5,2
D0854,46,5,3
D0292,47,1,1
D0181,47,1,2
D0309,47,2,1
D0603,47,2,2
D0371,47,3,1
D0584,47,3,2
D0254,47,3,3
D0398,47,4,1
D0535,47,4,2
D0617,47,4,3
D0452,47,5,1
D0610,47,5,2
D0637,48,1,1
D0911,48,1,2
D0665,48,2,1
D0788,48,3,1
D0064,48,3,2
D0791,48,4,1
D0069,48,4,2
D0827,48,5,1
D0879,48,5,2
D0024,48,5,3
D0265,48,5,4
D0230,49,1,1
D0300,49,1,2
D0313,49,2,1
D0380,49,3,1
D0493,49,3,2
D0451,49,4,1
D0502,49,4,2
D0186,49,4,3
D0485,49,5,1
D0513,49,5,2
D0519,49,5,3
D0527,50,1,1
D0652,50,1,2
D0533,50,2,1
D0716,50,2,2
D0273,50,2,3
D0573,50,3,1
D0699,50,3,2
D0752,50,3,3
D0199,50,3,4
D0590,50,4,1
D0734,50,4,2
D0596,50,5,1
D0669,50,5,2
D0198,50,5,3
D0746,51,1,1
D0321,51,1,2
D0488,51,1,3
D0762,51,2,1
D0440,51,2,2
D0847,51,3,1
D0132,51,3,2
D0143,51,3,3
D0170,51,3,4
D0242,51,4,1
D0314,51,5,1
D0383,51,5,2
D0455,52,1,1
D0520,52,1,2
D0589,52,1,3
D0684,52,1,4
D0559,52,2,1
D0683,52,2,2
D0168,52,2,3
D0606,52,3,1
D0629,52,4,1
D0698,52,4,2
D0682,52,5,1
D0689,52,5,2
D0036,52,5,3
D0703,53,1,1
D0863,53,1,2
D0740,53,2,1
D0866,53,2,2
D0001,53,2,3
D0775,53,3,1
D0832,53,3,2
D0798,53,4,1
D0923,53,4,2
D0808,53,5,1
D0811,53,5,2
D0038,53,5,3
D0008,54,1,1
D0107,54,1,2
D0311,54,1,3
D0109,54,2,1
D0214,54,2,2
D0139,54,3,1
D0290,54,3,2
D0150,54,4,1
D0180,54,4,2
D0238,54,4,3
D0276,54,5,1
D0285,54,5,2
D0338,54,5,3
D0389,55,1,1
D0410,55,1,2
D0655,55,1,3
D0408,55,2,1
D0467,55,2,2
D0447,55,3,1
D0710,55,3,2
D0506,55,4,1
D0586,55,4,2
D0549,55,5,1
D0592,55,5,2
D0594,55,5,3
D0709,56,1,1
D0793,56,1,2
D0910,56,1,3
D0816,56,2,1
D0895,56,2,2
D0868,56,3,1
D0135,56,3,2
D0017,56,3,3
D0015,56,4,1
D0200,56,4,2
D0255,56,4,3
D0079,56,5,1
D0207,56,5,2
D0271,57,1,1
D0360,57,1,2
D0607,57,1,3
D0356,57,2,1
D0355,57,2,2
D0387,57,3,1
D0415,57,3,2
D0558,57,3,3
D0419,57,4,1
D0507,57,4,2
D0611,57,4,3
D0503,57,5,1
D0532,57,5,2
D0267,57,5,3
D0695,58,1,1
D0907,58,1,2
D0195,58,1,3
D0725,58,2,1
D0012,58,2,2
D0296,58,2,3
D0735,58,3,1
D0193,58,3,2
D0772,58,4,1
D0802,58,4,2
D0342,58,4,3
D0287,58,4,4
D0784,58,5,1
D0922,58,5,2
D0240,58,5,3
D0316,59,1,1
D0375,59,1,2
D0764,59,1,3
D0388,59,2,1
D0556,59,2,2
D0509,59,3,1
D0548,59,3,2
D0748,59,3,3
D0318,59,3,4
D0538,59,4,1
D0564,59,4,2
D0805,59,4,3
D0721,59,5,1
D0738,59,5,2
D0817,60,1,1
D0822,60,1,2
D0842,60,2,1
D0906,60,2,2
D0605,60,2,3
D0055,60,3,1
D0086,60,3,2
D0317,60,3,3
D0567,60,3,4
D0161,60,4,1
D0289,60,4,2
D0483,60,4,3
D0248,60,5,1
D0334,60,5,2
D0263,60,5,3
D0649,61,1,1
D0820,61,1,2
D0217,61,1,3
D0668,61,2,1
D0062,61,2,2
D0234,61,2,3
D0693,61,3,1
D0796,61,3,2
