ItemNo,GroupNo,ShelfNo
P0879,1,19
P1655,1,228
P1922,1,223
P1280,1,31
P0071,1,172
P1079,1,67
P1056,1,9
P1203,1,6
P0596,1,180
P0022,1,130
P1763,1,164
P1097,1,57
P1112,1,62
P0165,1,89
P1700,1,32
P1090,1,77
P0170,1,165
P1682,1,220
P0193,1,169
P1403,1,193
P1911,1,212
P0434,1,25
P0002,1,183
P1344,1,98
P0569,1,149
P1445,1,83
P1091,1,104
P1924,1,195
P1715,1,221
P1873,1,179
P1699,1,38
P0871,1,150
P0531,1,100
P1900,1,224
P0817,1,85
P0660,1,189
P0410,1,138
P0065,1,8
P1558,1,182
P1795,1,184
P1098,1,61
P1115,1,109
P1282,1,43
P0459,1,137
P0629,1,187
P1157,1,18
P0303,1,113
P1858,1,199
P1253,1,79
P0079,1,192
P0673,1,134
P1794,1,163
P0332,1,178
P1352,1,60
P1187,1,49
P0012,1,196
P0856,1,124
P0844,1,147
P0200,1,101
P0364,1,35
P0695,1,148
P1286,1,28
P0849,1,45
P0194,1,74
P0713,1,33
P0911,1,107
P1267,1,10
P0981,1,86
P1250,1,174
P1401,1,227
P1764,1,135
P1772,1,146
P1105,1,115
P1130,1,222
P1124,1,66
P1402,1,203
P1921,1,235
P1720,1,226
P0312,1,128
P0632,1,145
P0456,1,166
P0936,1,82
P0853,1,121
P0450,1,168
P1681,1,233
P0209,1,34
P1317,1,90
P0011,1,198
P0503,1,219
P0631,1,167
P1011,1,81
P1895,1,197
P0404,1,13
P1189,1,23
P1346,1,99
P0333,1,225
P1584,1,217
P1044,1,97
P1460,1,191
P0728,1,54
P1361,1,206
P1017,1,42
P1761,1,218
P1176,1,48
P1374,1,108
P0910,1,88
P1235,1,152
P1917,1,201
P1915,1,208
P0455,1,177
P1045,1,80
P1554,1,159
P0791,1,50
P1453,1,200
P0201,1,75
P0842,1,39
P0888,1,16
P0640,1,52
P0412,1,4
P1628,1,114
P1312,1,11
P0117,1,139
P0191,1,119
P0076,1,209
P0401,1,162
P1713,1,161
P0941,1,29
P1163,1,234
P1224,1,47
P1356,1,185
P0447,1,140
P0452,1,153
P0805,1,156
P0444,1,186
P0786,1,181
P0115,1,173
P1248,1,64
P1111,1,69
P0852,1,27
P1271,1,40
P0846,1,136
P1708,1,5
P0710,1,14
P0922,1,103
P1144,1,204
P1586,1,216
P0078,1,2
P1897,1,211
P0167,1,125
P1351,1,120
P0141,1,58
P0146,1,92
P0920,1,126
P1698,1,231
P0790,1,21
P1223,1,15
P0557,1,210
P0195,1,151
P1288,1,46
P1934,1,194
P1413,1,202
P1881,1,205
P0449,1,118
P0316,1,175
