station_id,time_period,predicted_demand
一食堂,evening_peak,
一食堂,lunch_peak,32.25
一食堂,morning_peak,5.0
一食堂,off_peak,40.9
三食堂,evening_peak,58.333333333333336
三食堂,lunch_peak,12.0
三食堂,morning_peak,7.0
三食堂,off_peak,47.375
东门,evening_peak,36.0
东门,lunch_peak,45.0
东门,morning_peak,49.5
东门,off_peak,74.72727272727273
二食堂,evening_peak,67.66666666666667
二食堂,lunch_peak,129.5
二食堂,morning_peak,66.8
二食堂,off_peak,61.7
体育馆,evening_peak,42.25
体育馆,lunch_peak,4.0
体育馆,morning_peak,2.0
体育馆,off_peak,16.333333333333332
北门,evening_peak,89.66666666666667
北门,lunch_peak,68.66666666666667
北门,morning_peak,40.5
北门,off_peak,49.125
南门,evening_peak,108.0
南门,lunch_peak,47.5
南门,morning_peak,45.5
南门,off_peak,46.333333333333336
工程中心,evening_peak,29.0
工程中心,lunch_peak,19.25
工程中心,morning_peak,52.666666666666664
工程中心,off_peak,57.666666666666664
教学2楼,evening_peak,24.666666666666668
教学2楼,lunch_peak,20.333333333333332
教学2楼,morning_peak,19.0
教学2楼,off_peak,69.5
教学4楼,evening_peak,6.0
教学4楼,lunch_peak,137.66666666666666
教学4楼,morning_peak,84.0
教学4楼,off_peak,51.0
校医院,evening_peak,4.5
校医院,lunch_peak,19.0
校医院,morning_peak,19.0
校医院,off_peak,8.333333333333334
梅苑1栋,evening_peak,46.0
梅苑1栋,lunch_peak,38.25
梅苑1栋,morning_peak,31.25
梅苑1栋,off_peak,56.63636363636363
网球场,evening_peak,42.5
网球场,lunch_peak,9.666666666666666
网球场,morning_peak,14.0
网球场,off_peak,19.0
菊苑1栋,evening_peak,
菊苑1栋,lunch_peak,72.6
菊苑1栋,morning_peak,102.0
菊苑1栋,off_peak,87.83333333333333
计算机学院,evening_peak,36.0
计算机学院,lunch_peak,36.2
计算机学院,morning_peak,13.75
计算机学院,off_peak,24.571428571428573
