c_personid,c_name,c_name_chn,c_index_year,c_index_year_type_code,c_index_year_source_id,c_female,c_index_addr_id,c_index_addr_type_code,c_ethnicity_code,c_household_status_code,c_tribe,c_birthyear,c_by_nh_code,c_by_nh_year,c_by_range,c_deathyear,c_dy_nh_code,c_dy_nh_year,c_dy_range,c_death_age,c_death_age_range,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_ey_nh_year,c_fl_ey_notes,c_fl_latest_year,c_fl_ly_nh_code,c_fl_ly_nh_year,c_fl_ly_notes,c_surname,c_surname_chn,c_mingzi,c_mingzi_chn,c_dy,c_choronym_code,c_notes,c_by_intercalary,c_dy_intercalary,c_by_month,c_dy_month,c_by_day,c_dy_day,c_by_day_gz,c_dy_day_gz,c_surname_proper,c_mingzi_proper,c_name_proper,c_surname_rm,c_mingzi_rm,c_name_rm,c_created_by,c_modified_by,c_self_bio,c_created_date,c_modified_date
594,Fang Zhi,方知,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Zhi,知,15.0,0.0,"Fang(1) Zhi [594] XNYL, 129.5a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
595,Fang Zhou,方宙,1043.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1073.0,528.0,6.0,熙寧六年進士。,,0.0,,,Fang,方,Zhou,宙,15.0,62.0,"Fang(1) Zhou [595] Fujian TZ, 147.26b; SHY:ZG, 67.30b. CBD, 1, 52.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
596,Fang Zhongxun,方仲荀,970.0,5.0,,0.0,12852.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,998.0,513.0,1.0,咸平進士。,1008.0,515.0,1.0,祥符中，知蘇州。,Fang,方,Zhongxun,仲荀,15.0,62.0,"Fang(1) Zhongxun [596] Huizhou FZ, 6.4a. XCB, 89.22b, 94.6a, 103.9b. CBD, 1, 75.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
597,Fang Xie,方偕,992.0,1.0,,0.0,100531.0,1.0,0.0,0.0,,992.0,511.0,3.0,,1055.0,525.0,2.0,,64.0,,,0.0,,,,0.0,,,Fang,方,Xie,偕,15.0,62.0,"Fang(1) Xie [597] His ancestors were Shejun Fang(1), descended from Hong (-200) [16931]. Xie's sixth generation ancestor, Qushu [3291], moved his lineage branch of the clan from Yanzhou, [Chunan ?] to Quanzhou, Xinghua xian in Fujian to avoid the disorder at the end of the Tang. Xie's great grandfather, Jing [3293], served in the administration of the Southern Tang kingdom and grandfather, Shouyin [16974], in the administration of the kingdom of Shu. His father, Ding [3303], moved to Putian xian when the Song established Xinghua jun from the territory of Quanzhou and the Chen returned to allegiance. Xie was the father of Ze [602] and Wo [604], who were Chen(1) Jing(5)'s [37] grandsons-in-law. SS, 304.15b-16a; Cai Xiang, WJ, 37.1a-6a; YLDD, 12400.7a, 23a. CBD, 1, 56.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
598,Fang Lue,方略,1076.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1107.0,535.0,1.0,大觀中由崇德尉召除刪定官。,1127.0,540.0,1.0,建炎中告歸。,Fang,方,Lue,略,15.0,62.0,"Fang(1) Lue [598] SHY:ZG, 69.24b. Fujian TZ, 148.6a. CBD, 1, 55.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
599,Fang Mengqing,方孟卿,1076.0,5.0,,0.0,12881.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1102.0,534.0,1.0,崇寧進士。,1135.0,541.0,5.0,紹興五年知湖州。,Fang,方,Mengqing,孟卿,15.0,0.0,"Fang(1) Mengqing [599] See documentation in 1148 jinshi list, sijia #88, for son, Yan(4) [23497]. Jiangxi TZ, 21.33b; XNYL, 39.6a, 47.4a; Xianchun Linan zhi, 50.4a; SHY:ZG, 42.52a; SHY:SH, 49.37a. CBD, 1, 77.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
600,Fang Shenyan,方慎言,970.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Shenyan,慎言,15.0,62.0,"Fang(1) Shenyan [600] According to his uncle Yi's [3297] biography, their ancestors were Shejun Fang(1). Yi's grandfather, who was probably a lineal descendant of Hong [16931], moved to Xinghua jun, Putian xian, probably from Yanzhou, Chunan county. Yi and Shenyan both earned the jinshi in 1000. Fang(1) Shide [3300], the son-in-law of Ye(1) Yong's [2058] fourth generation ancestor, Ye(1) Bin [4072], was probably a member of the same generation of a cadet branch of Shenyan's lineage. Jiangxi TZ, 13.3a; Fujian TZ, 147.6a; Guangdong TZ, 14.24b. CBD, 1, 84.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
601,Fang Shiyin,方師尹,1100.0,1.0,,0.0,12887.0,1.0,0.0,0.0,,1100.0,532.0,3.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Shiyin,師尹,15.0,0.0,"Fang(1) Shiyin [601] Jiangxi TZ, 22.11b; XNYL, 177.12b, 184.16a; SHY:ZG, 41.48a, 72.19b. CBD, 1, 80.From Hartwell's ACTIVITY table:1178:  New GUangnan Dong tiju dismissed (fangba) for actions as Huaixi zongling (in 1157 !!).see also 宋人傳記資料索引(電子版) 433 方思尹",0.0,0.0,10.0,,16.0,,,,,,,,,,TTS,HURX,1.0,2007-03-12 00:00:00,2013-07-24 00:00:00
602,Fang Ze,方澤,1022.0,11.0,597.0,0.0,100531.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,1075.0,528.0,8.0,大理寺丞（拜命 宋神宗煕寧8）,1101.0,533.0,1.0,守鄂州（拜命 宋徽宗建中靖國1）,Fang,方,Ze,澤,15.0,62.0,"Fang(1) Ze [602] Xie's [597] son and Wo's [604] brother. Lu(9) Huiqing's [1309] affinal kin. XCB, 267.9b, 285.5b.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
603,Fang Zi,方滋,1102.0,1.0,,0.0,12672.0,1.0,0.0,0.0,,1102.0,534.0,1.0,0.0,1172.0,543.0,8.0,,71.0,0.0,,0.0,,,,0.0,,,Fang,方,Zi,滋,15.0,62.0,"Fang(1) Zi [603] Meng's [7220] grandson, Li(2) Wenyuan's [7043] son-in-law, Wang(2) Mingqing's [7085] father-in-law, Chang(2) Tong's [7001] grandfather-in-law. His maternal grandfather was Wang(2) Anli [1760]. His son, Dao [3302], was Chang(2) Tong's [7001] son-in-law. Zi was the brother of Su(1) Shide's [1504] wife. Both Zi and his son, Dao, were buried in Hangxian, therefore, I assume that Zi moved to Hangzhou. His son's eldest daughter became a buddhist nun. Han Yuanji, WJ, 21.1a-9a; XNYL, 46.15b, 157.9b, 188.13a; Xianchun Linan zhi, 50.7b; Guangxi TZ, 21.16a; Lou Yue, WJ, 106.12a; SHY:ZG, 70.27a, 71.17a. CBD, 1, 58.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
604,Fang Wo,方沃,1022.0,11.0,597.0,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Wo,沃,15.0,62.0,"Fang(1) Wo [604] Xie's [597] son, Ze's [602] brother. XCB, 266.13a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3291,Fang Qushu,方取述,,,,0.0,16035.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Qushu,取述,6.0,62.0,"Fang(1) Qushu [3291] See documentation for 6th generation descendant, Xie [597].",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3292,Fang Tingfan,方廷範,910.0,14.0,,0.0,16035.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Tingfan,廷範,7.0,62.0,"Fang(1) Tingfan [3292] Fang Dacong, 35.3a; Liu Kezhuang, WJ, 166.6a. The ancestry is slightly confused. According to Lin(1) Guangchao's [10612] funerary inscription for descendant, Gang [11255] (q.v.), Tingfan held posts as county magistrate of Changle, Youqi and Gutian counties and had six sons, all of whom became illustrious. Guangchao only names #6, Renzai, who was the grandfather of Shenyan [600]. Liu Kezhuang, WJ, 149.1a names Bishu shaojian Renyue as a son whose descendants were particularly illustrious. Shaojian is the office held, according to Lin(1) Guangchao, by Tingfan's son #2. The biographical data cited in CBD for Yi [3297], Shenyan's [600] uncle and Songqing's [7110] 6th generation ancestor, has the lineage originally Shejun people and Yi's grandfather, which would seem to be Tingfan, moving to Putian. Fang(1) Dacong [11328] also has Tingfan moving to Putian. Liu Kezhuang, however, in his funerary inscription for Fang(1) Xinru [7029], Songqing's #2 son, has an ancestor, Shu [16988], moving from Gushi county to Putian and the six sons of Tingfan all being illustrious and Xinru being the 8th generation descendant of one of these sons, Renyue [16989]. In Liu Kezhuang, WJ, 149.1a, Tingfan is identified as a father of Renyue, who was the #2 son of Tingfan, whereas Renzai was the #6 son of Tingfan (or Tingfan). A Shejun origin would make the lineage descendants of Hong [16931] (-200) and originally Yanzhou residents, whereas the other version would make them Henan Fang and new to Southeast China with the fall of Tang. For the time being, I am accepting the Shejun origin, but identifying a great grandfather of Tingfan, Shu, as the person who moved from Yanzhou, Chunan county to Putian at end of Tang. Renyue was the #2 son of Tingfan and father of Yi and Yi the grandfather of Zao(2) [16990], the great grandfather of Songqing. Using my standard for counting generations, the result is consistent with the sources except, of course, for the geographical origin of the lineage. The probable answer would seem to be that Shu moved to Fujian, whereas Tingfan moved to Putian.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3293,Fang Jing,方京,902.0,14.0,3291.0,0.0,16035.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Jing,京,10.0,62.0,"Fang(1) Jing [3293] See documentation for great grandson, Xie [597].",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3294,Fang Fengchen,方逢辰,1221.0,1.0,,0.0,12736.0,1.0,0.0,0.0,,1221.0,549.0,14.0,,1291.0,623.0,28.0,,71.0,,,0.0,,,,0.0,,,Fang,方,Fengchen,逢辰,15.0,62.0,"Fang(1) Fengchen [3294]  Fengchen, who died in 1291 and was Jiangxi yunfu during the reign of Lizong [3205], traced his ancestry to the Shejun Fang(1). Jiangxi TZ, 11.3a; Fang Fengchen, WJ, 7.45b-46a (wife, born Shao, who died in 1256 at age 34), WJ, waiji, 3.5a-20a; Liu Kezhuang, WJ, 153.3b, 158.10b. CBD, 1, 81-83; WDY, 1, 69-70.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
3295,Fang Fengji,方逢吉,1193.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Fengji,逢吉,15.0,62.0,"Fang(1) Fengji [3295] Fujian TZ, 149.53a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3296,Fang Xijue,方希覺,1035.0,12.0,11281.0,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Xijue,希覺,15.0,62.0,"Fang(1) Xijue [3296] See documentation for brother-in-law, Lu(9) Huiqing [1309]. CBD, 1, 75.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
3297,Fang Yi,方儀,970.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1000.0,513.0,3.0,咸平三年登第。,,0.0,,,Fang,方,Yi,儀,15.0,62.0,"Fang(1) Yi [3297] Fujian TZ, 147.6a. His 6th generation descendant is Fang(1) Songqing [7110] according to Fujian TZ, 149.2b. CBD, 1, 64.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
3298,Fang La,方臘,,,,0.0,12734.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1120.0,538.0,2.0,宣和二年方臘起義。,,0.0,,,Fang,方,La,臘,15.0,62.0,"Fang(1) La [3298] Hong [16931] was the lineal ancestor of the Chunan county Fang. CBD, 1, 66.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
3299,Fang Shencong,方慎從,975.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Shencong,慎從,15.0,62.0,"Fang(1) Shencong [3299] CBD, 1, 84.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3300,Fang Shende,方慎德,,,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Shende,慎德,15.0,62.0,"Fang(1) Shende [3300] Kinship with Shenyan [600] based on generational name, chronological logic and address of affinal kin. See documentation for father-in-law, Ye Bin [4072].",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
3301,Fang Tian,方恬,1139.0,5.0,,0.0,12852.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Tian,恬,15.0,0.0,"Fang(1) Tian [3301] Huizhou FZ, 6.11b. CBD, 1, 54.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
3302,Fang Dao,方導,1133.0,1.0,,0.0,100352.0,1.0,0.0,0.0,,1133.0,541.0,3.0,0.0,1201.0,547.0,1.0,,69.0,0.0,,0.0,,,,0.0,,,Fang,方,Dao,導,15.0,62.0,"Fang(1) Dao [3302] His eldest daughter became a buddhist nun. Lou Yue, WJ, 106.12a-19b. CBD, 1, 65.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
3303,Fang Ding,方鼎,962.0,13.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Ding,鼎,15.0,62.0,"Fang(1) Ding [3303] See documentation for son, Xie [597].",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
5075,Fang Shi(Wife of Liu Ke Xun ),方氏(劉克遜妻),1190.0,1.0,,1.0,100531.0,1.0,0.0,0.0,,1190.0,0.0,,,1259.0,556.0,1.0,,70.0,,,0.0,,,,0.0,,,Fang,方,Shi(Wife of Liu Ke Xun ),氏（劉克遜妻）,15.0,62.0,"Fang(1) Yiren [5075] Liu Kezhuang, WJ, 158.10b-12a. CBD, 5, 3951.",0.0,0.0,,,,,,,,,,,,,TTS,BDZHOUJIA,0.0,2007-03-12 00:00:00,2008-12-27 00:00:00
5086,Fang Shi(Wife of Lv Da Tong ),方氏(呂大同妻),1128.0,1.0,,1.0,100352.0,1.0,0.0,0.0,,1128.0,540.0,2.0,,1176.0,544.0,3.0,,49.0,,,0.0,,,,0.0,,,Fang,方,Shi(Wife of Lv Da Tong ),氏（呂大同妻）,15.0,62.0,"Fang(1) Furen [5086] Lu You, WJ, 36.1a-1b. CBD, 2, 1186.",0.0,0.0,,,,,,,,,,,,,TTS,BDSYX,0.0,2007-03-12 00:00:00,2008-07-01 00:00:00
5120,Fang Daojian,方道堅,1115.0,1.0,,1.0,100531.0,1.0,0.0,0.0,,1115.0,0.0,,,1191.0,545.0,2.0,,77.0,,,0.0,,,,0.0,,,Fang,方,Daojian,道堅,15.0,62.0,"Fang(1) Daojian [5120] Yang Wanli, WJ, 129.12a-14b. CBD, 5, 3792.",0.0,0.0,,,,,,,,,,,,,TTS,BDZWZ,1.0,2007-03-12 00:00:00,2008-11-15 00:00:00
5232,Fang Shi(Mother of Chen Que),方氏(陳確母),987.0,1.0,,1.0,12786.0,1.0,0.0,0.0,,987.0,0.0,,,1056.0,526.0,1.0,,70.0,,,0.0,,,,0.0,,,Fang,方,Shi(Mother of Chen Que),氏（陳確母）,15.0,0.0,"Fang(1) Furen(2) [5232] Shen sanshi (Shen Gou), 10.56a-57b. CBD, 3, 2509 (son's entry).",0.0,0.0,,,,,,,,,,,,,TTS,BDLYH,0.0,2007-03-12 00:00:00,2008-12-06 00:00:00
5340,Fang Shi(Wife of Liu Wen Li ),方氏（劉文禮妻）,1216.0,1.0,,1.0,100531.0,1.0,0.0,0.0,,1216.0,0.0,,,1246.0,0.0,,,31.0,-1.0,,0.0,,,,0.0,,,Fang,方,Shi(Wife of Liu Wen Li ),氏（劉文禮妻）,15.0,62.0,"Fang(1) Shi(7) [5340] Liu Kezhuang, WJ, 152.1a-1b. CBD, 5, 3927.",0.0,0.0,,,,,,,,, ,,, ,TTS,Hongsu Wang,0.0,2007-03-12 00:00:00,2022-10-25 00:00:00
5341,Fang Shi(Wife of Liu Hui Shu ),方氏(劉煇叔妻),1193.0,1.0,,1.0,100531.0,1.0,0.0,0.0,,1193.0,0.0,,,1249.0,554.0,9.0,,57.0,,,0.0,,,,0.0,,,Fang,方,Shi(Wife of Liu Hui Shu ),氏（劉煇叔妻）,15.0,62.0,"Fang(1) Anren(2) [5341] Liu Kezhuang, WJ, 153.10b-11b. CBD, 5, 3985.",0.0,0.0,,,,,,,,,,,,,TTS,BDLYH,0.0,2007-03-12 00:00:00,2008-12-13 00:00:00
7029,Fang Xinru,方信孺,1177.0,1.0,,0.0,100531.0,1.0,0.0,0.0,,1177.0,544.0,4.0,,1222.0,549.0,15.0,,46.0,,,0.0,,,,0.0,,,Fang,方,Xinru,信孺,15.0,62.0,"Fang(1) Xinru [7029] Songqing's [7110] son, Ye(1) Yong's [2058] grandson-in-law. Guangxi TZ, 20.14a; Liu Kezhuang, WJ, 148.5b, 166.5b-15b; SS, 395.14a. CBD, 1, 79-80.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
7110,Fang Songqing,方崧卿,1135.0,1.0,,0.0,100531.0,1.0,0.0,0.0,,1135.0,541.0,5.0,,1194.0,545.0,5.0,,60.0,,,0.0,,,,0.0,,,Fang,方,Songqing,崧卿,15.0,62.0,"Chen(1) Fangzhong [25392] Chen Fuliang, WJ, 50.5b-6a. Wife, born Zhu(1), died in 1195 at age 76. Not indexed in CBD.From Hartwell's ACTIVITY table:1192:  Apt. Guangnan Xi yunpan1193:  Apt. Jingxi yunpan",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-18 00:00:00
7220,Fang Meng,方蒙,1037.0,5.0,,0.0,100352.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Meng,蒙,15.0,62.0,"Fang(1) Meng [7220] Zi's [603] grandfather, Fu(5) Liangyou's [7227] father-in-law, Chen(1) Xiang(3)'s [7005] son-in-law, L?1) Zuqian's [7055] maternal great grandfather, and grandfather of the wife of Lu(9) Zuqian's uncle, Datong [3653]. Zhejiang TZ, 123.31b; Lu You, WJ, 36.1a; L?Zuqian, WJ, 'waiji, 5.4a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
7653,Fang Mu,方木,,,,0.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,Fang,方,Mu,木,15.0,,,0.0,0.0,,,,,,,,, ,,, ,Ho Ho Hin,Ho Ho Hin,,2022-12-20 00:00:00,2022-12-20 00:00:00
11210,Fang Shenjiao,方慎交,,,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Shenjiao,慎交,15.0,62.0,"Fang(1) Shenjiao [11210] Fujian TZ, 147.19a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
11211,Fang Zhen,方蓁,1016.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Zhen,蓁,15.0,62.0,"Fang(1) Zhen [11211] Fujian TZ, 147.16b.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
11212,Fang Xigao,方希皋,1035.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,Fang,方,Xigao,希皋,15.0,62.0,"Fang(1) Xigao [11212] Fujian TZ, 147.23a.",0.0,0.0,,,,,,,,,,,,,TTS,,0.0,2007-03-12 00:00:00,
11213,Fang Jia,方价,1043.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1073.0,528.0,6.0,熙寧六年進士。,1127.0,540.0,1.0,大觀初知安豐縣，後復知侯官縣。尋乞歸，里居二十年。,Fang,方,Jia,价,15.0,62.0,"Fang(1) Jie [11213] Fujian TZ, 147.26b. CBD, 1, 51.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-11 00:00:00
11214,Fang Tong,方通,1043.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1073.0,528.0,6.0,,,0.0,,,Fang,方,Tong,通,15.0,62.0,"Fang(1) Tong [11214] Fujian TZ, 147.26b. CBD, 1, 55.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
11215,Fang Yan,方演,1037.0,5.0,,0.0,100531.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,1067.0,527.0,4.0,治平四年進士。,,0.0,,,Fang,方,Yan,演,15.0,62.0,"Fang(1) Yan [11215] Fujian TZ, 147.25b. CBD has jinshi in 1067. I use TZ notice. CBD, 1, 60.",0.0,0.0,,,,,,,,,,,,,TTS,BDQKH,1.0,2007-03-12 00:00:00,2008-10-17 00:00:00
